Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111709.41316,7304,-2812,16304,-138,208,-69
1661111709.523674,7488,-2944,16304,-485,137,-75
1661111709.638411,7460,-3008,15896,-220,-270,-781
1661111709.744921,7356,-3104,16036,-186,182,-74
1661111709.855734,7460,-2916,15928,-383,186,92
1661111709.966282,7396,-3032,16224,-127,172,8
1661111710.076715,7568,-3140,16044,-205,81,-75
1661111710.191245,7648,-3104,16212,-159,322,54
1661111710.301716,7528,-3204,16092,-264,217,103
1661111710.412447,7620,-3196,16188,-325,292,360
1661111710.518723,7564,-2996,15880,-113,-151,62
1661111710.629563,7808,-3512,15720,-2253,-4074,-1991
1661111710.748462,8412,-3680,15256,-1480,-2677,-1163
1661111710.858717,9176,-3648,15036,-1513,-1697,-912
1661111710.969138,9576,-4176,14436,-1936,-959,-831
1661111711.084025,9340,-4484,14160,-2285,-1792,-953
1661111711.198639,9896,-4648,14064,-44,-1131,962
1661111711.309554,10184,-5304,13800,1296,-1219,-71
1661111711.420021,10292,-4504,14064,962,1157,637
1661111711.530684,9916,-4052,14148,-126,1292,-1424
1661111711.641293,7092,-5068,14900,76,9236,4305
1661111711.751972,6492,-5464,15628,-2622,12503,5677
1661111711.862379,4332,-5872,16416,2064,4304,5505
1661111711.972987,3524,-6012,17256,-434,3734,2092
1661111712.083793,3632,-8920,15100,1048,9545,7208
1661111712.193873,-2064,-5276,16852,7460,16951,10760
1661111712.305038,-2908,-5772,16212,-747,3329,3047
1661111712.419576,-3952,-4904,15584,1811,5583,5969
1661111712.529859,-3748,-6732,13532,1333,6304,7424
1661111712.640487,-10228,-3856,17040,2317,6729,9909
1661111712.755488,-9492,-3404,15376,-687,966,645
1661111712.865669,-9240,-2716,14636,674,4775,3655
1661111712.976773,-9672,-3352,13816,612,72,-879
1661111713.083069,-9820,-2656,14536,1255,-405,2578
1661111713.19781,-12276,-2284,14108,721,2744,7149
1661111713.304399,-10964,-532,13108,358,2437,5818
1661111713.414438,-11668,212,13184,676,1997,4362
1661111713.529557,-12008,300,13208,-68,1451,2057
1661111713.639895,-12104,1468,13020,883,2306,4750
1661111713.750768,-11996,2872,12204,1254,3197,7673
1661111713.861045,-12460,3468,12364,-119,717,2272
1661111713.972085,-11836,3772,10756,-2462,1244,628
1661111714.082202,-12324,3804,11508,-209,-623,-679
1661111714.196948,-12156,2728,11632,-1107,-147,-413
1661111714.311589,-12432,2848,11920,-1470,-836,-1009
1661111714.426173,-12036,2992,12540,1019,-1171,-31
1661111714.5327,-12420,3356,11948,1086,238,2429
1661111714.643388,-12592,4424,10104,5106,2751,3182
1661111714.758094,-12716,5308,8744,-3304,9876,11228
1661111714.868681,-14988,8984,5284,-3720,24798,16503
1661111714.979215,-14632,9684,1512,-1615,9840,5694
1661111715.090012,-12432,10160,44,-134,3023,1660
1661111715.196202,-12484,10648,-496,70,2352,1371
1661111715.306817,-12028,10404,-724,72,1931,652
1661111715.417444,-12180,10516,-704,-64,552,-66
1661111715.532351,-11772,10548,-1076,213,1032,216
1661111715.642819,-11436,11004,-1336,-359,2754,2186
1661111715.753745,-11652,10760,-2192,-786,4728,1745
1661111715.868328,-10708,11528,-2320,-1008,3252,668
1661111715.978588,-10968,11668,-2768,-910,2501,1206
1661111716.089008,-8360,14140,-3100,-1556,4458,1107
1661111716.203809,-9716,11928,-3112,-420,319,542
1661111716.31462,-9884,12596,-2624,-1924,1487,1166
1661111716.425003,-9948,12064,-2588,-1876,1579,16
1661111716.535723,-9156,12896,-2452,-47,523,205
1661111716.646525,-9528,13140,-2200,-566,442,1364
1661111716.756687,-8800,13120,-2220,1735,-2212,48
1661111716.86771,-7516,13796,-2160,-1960,2849,8706
1661111716.978302,-5824,14584,-2068,-1121,2286,9079
1661111717.092636,-3980,15244,-2600,-1070,1812,3890
1661111717.207253,-2640,14816,-1196,-840,-2325,-259
1661111717.317954,-3372,15772,-1332,-2178,501,2682
1661111717.428454,-3180,16484,-972,-3251,456,4394
1661111717.538956,-2468,16036,-328,-393,-77,23
1661111717.653779,-2204,16572,744,-3126,-1247,-1978
1661111717.76029,-2900,16200,904,-453,195,1031
1661111717.86732,-2392,16292,992,-286,374,755
1661111717.97746,-2376,16260,988,286,228,238
1661111718.087878,-2276,15960,884,555,4534,-4063
1661111718.194527,-3232,16472,924,-1864,4147,-760
1661111718.309327,-4288,16168,1624,-2753,1505,169
1661111718.419557,-2836,14780,2804,-3422,-2415,12492
1661111718.53016,-636,16372,3104,-587,780,2522
1661111718.645309,-136,17132,2900,-2547,3242,3231
1661111718.75954,-2292,15344,5360,-918,6474,-6131
1661111718.870313,5564,13648,3116,-6129,-3059,8100
1661111718.980862,-620,17160,4532,-4212,-31,568
1661111719.091687,2132,15404,5732,-2536,-173,-6280
1661111719.201856,-1276,16948,6380,-9563,-1794,2234
1661111719.312527,-2264,15088,7996,-3251,-159,-1709
1661111719.427206,-2556,14608,7500,-3049,998,-1407
1661111719.53791,-2600,14268,9408,-2435,-231,-1703
1661111719.652817,-2008,12548,11208,-1998,-221,1391
1661111719.767279,-984,12324,11352,-3863,-1645,2406
1661111719.873811,244,12860,8216,-6302,-2313,6164
1661111719.984341,1356,11908,13740,-4141,-2136,7378
1661111720.094875,-1828,13916,10524,-4100,-1588,6382
1661111720.209852,2844,11364,13232,-1233,-604,2076
1661111720.320325,2392,11628,13736,-1540,-691,3443
1661111720.430609,3140,10748,13616,-1613,-187,4782
1661111720.54563,2768,13412,12844,-5492,-1707,1303
1661111720.656321,4948,9248,14484,-853,-941,-1495
1661111720.762582,4728,9244,14344,62,-174,186
1661111720.873086,4664,9148,14440,-2325,348,-1322
1661111720.984032,4180,8464,15332,-4535,1512,-3328
1661111721.098878,3764,7696,16192,-3726,2096,-3639
1661111721.2088,3568,7944,15952,3108,-212,1176
1661111721.319602,3852,8472,15672,1956,-511,1462
1661111721.430286,4048,8432,15128,1883,-497,1816
1661111721.544765,4912,8828,14840,2109,-1392,3686
1661111721.655682,5220,8764,14764,518,-1245,3017
1661111721.762188,5748,8696,15316,-2612,-2036,259
1661111721.872549,4912,8720,15548,-3487,-1178,-1709
1661111721.983099,5572,7456,15276,-4039,653,-2264
1661111722.094145,5352,6848,15800,-3859,1068,-1994
1661111722.204222,5276,6476,15860,-51,307,-189
1661111722.314752,5292,7144,15900,6979,347,2449
1661111722.425403,4936,8816,16848,9692,-144,-890
1661111722.535976,5260,9200,14748,1452,175,213
1661111722.646804,5548,9656,14052,2387,-532,445
1661111722.757082,5792,9776,13944,1184,31,-349
1661111722.863839,5380,9952,13988,1060,-88,262
1661111722.978549,5624,9764,13980,512,-324,581
1661111723.085033,5136,10480,12948,4856,-172,-5643
1661111723.199671,3100,12688,11892,6125,886,-10802
1661111723.310139,656,13756,10872,4157,5134,-6673
1661111723.424951,604,14040,8828,3890,2268,-8675
1661111723.535154,-2468,14424,9132,5457,3734,-10297
1661111723.646487,-5392,14100,7232,9089,3157,-12514
1661111723.760746,-7660,13664,5660,5158,3261,-6372
1661111723.871355,-8440,13412,4588,1321,1777,-3436
1661111723.982114,-8252,13112,4388,1216,3246,-18
1661111724.096516,-8736,14000,3124,2866,4075,4412
1661111724.202885,-7336,14584,2056,4025,5485,6434
1661111724.317619,-5708,15024,784,3887,5674,8123
1661111724.432749,-3912,15384,812,2713,3698,5885
1661111724.543066,-4356,16332,-204,-2123,199,-781
1661111724.653572,-3328,16024,-468,-857,2986,1623
1661111724.76434,-3396,15876,-292,1629,1003,-279
1661111724.878925,-3396,16152,-736,2511,-1750,-142
1661111724.986263,-2844,16060,-1888,5252,1091,3092
1661111725.095658,1092,12516,-7148,4938,648,3187
1661111725.206411,-1996,15780,-4008,4577,-210,3041
1661111725.313211,-708,15656,-5460,2177,4083,502
1661111725.423476,-788,15120,-4876,95,1304,998
1661111725.534157,-1156,14724,-3340,-1176,-2098,-951
1661111725.649067,-288,13428,-5536,1709,-2647,637
1661111725.763658,-1436,14876,-5184,6521,-10702,-1098
1661111725.874342,-2072,13760,-7148,7067,-1917,2771
1661111725.984663,-1076,12832,-8644,4587,362,-1325
1661111726.099551,-1144,12032,-9504,3303,419,-2358
1661111726.210214,-1840,12368,-9796,-700,2484,-2573
1661111726.320618,-1848,12332,-9564,-359,111,-1892
1661111726.431034,-1520,12156,-9152,-2108,2261,258
1661111726.541743,-1920,12408,-9220,-16,-3034,-1203
1661111726.652353,-2212,13500,-9472,483,-4455,-3403
1661111726.762891,-656,15040,-10072,1520,-1235,-2754
1661111726.877861,-4952,11288,-9756,1621,-964,-4417
1661111726.988055,-5348,10352,-10472,4877,-1714,-8350
1661111727.09467,-7028,7128,-11136,3788,2448,-3630
1661111727.205319,-7612,7400,-11164,5608,-1110,-2713
1661111727.316056,-9000,3688,-12092,7913,-2268,-4260
